Fecha numérica,Fecha,TRM Proyectada,TRM Proyectada Sup,TRM Proyectada Inf
738396,2022-08-29,4116.255240417668,4277.628127936001,3999.2204924853063
738397,2022-08-30,4116.9817566449055,4278.3831263672255,3999.92635215979
738398,2022-08-31,4117.70827287226,4279.138124798571,4000.632211834387
738399,2022-09-01,4118.434789099498,4279.8931232297955,4001.3380715088706
738400,2022-09-02,4119.161305326736,4280.648121661019,4002.0439311833543
738401,2022-09-03,4119.88782155409,4281.403120092365,4002.7497908579508
738402,2022-09-04,4120.614337781328,4282.158118523589,4003.4556505324344
738403,2022-09-05,4121.340854008682,4282.913116954935,4004.1615102070314
738404,2022-09-06,4122.06737023592,4283.668115386159,4004.867369881515
738405,2022-09-07,4122.793886463158,4284.423113817384,4005.5732295559988
738406,2022-09-08,4123.520402690512,4285.178112248729,4006.279089230595
738407,2022-09-09,4124.24691891775,4285.933110679954,4006.984948905079
738408,2022-09-10,4124.973435144988,4286.688109111178,4007.6908085795626
738409,2022-09-11,4125.699951372342,4287.443107542524,4008.3966682541595
738410,2022-09-12,4126.42646759958,4288.198105973748,4009.102527928643
738411,2022-09-13,4127.152983826934,4288.953104405094,4009.8083876032397
738412,2022-09-14,4127.879500054172,4289.708102836317,4010.5142472777234
738413,2022-09-15,4128.60601628141,4290.463101267542,4011.220106952207
738414,2022-09-16,4129.332532508764,4291.218099698887,4011.925966626804
738415,2022-09-17,4130.059048736002,4291.973098130112,4012.6318263012877
738416,2022-09-18,4130.785564963357,4292.728096561457,4013.337685975884
738417,2022-09-19,4131.5120811905945,4293.483094992682,4014.043545650368
738418,2022-09-20,4132.238597417832,4294.238093423906,4014.7494053248515
738419,2022-09-21,4132.965113645187,4294.993091855252,4015.4552649994484
738420,2022-09-22,4133.6916298724245,4295.748090286476,4016.161124673932
738421,2022-09-23,4134.418146099662,4296.503088717701,4016.866984348416
738422,2022-09-24,4135.144662327017,4297.258087149046,4017.5728440230123
738423,2022-09-25,4135.871178554255,4298.01308558027,4018.278703697496
738424,2022-09-26,4136.597694781609,4298.768084011615,4018.984563372093
738425,2022-09-27,4137.324211008847,4299.52308244284,4019.6904230465766
738426,2022-09-28,4138.050727236085,4300.2780808740645,4020.3962827210603
738427,2022-09-29,4138.777243463439,4301.03307930541,4021.1021423956568
738428,2022-09-30,4139.503759690677,4301.7880777366345,4021.8080020701404
738429,2022-10-01,4140.230275918031,4302.54307616798,4022.5138617447374
738430,2022-10-02,4140.956792145269,4303.2980745992045,4023.219721419221
738431,2022-10-03,4141.683308372507,4304.053073030429,4023.9255810937047
738432,2022-10-04,4142.409824599861,4304.8080714617745,4024.631440768301
738433,2022-10-05,4143.136340827099,4305.563069892999,4025.337300442785
